,title,author,description,actual_price,prev_price,pages,year,language,publisher,image
0,Anatomía del mal,"Wild, Jordi","Descripción



ADVERTENCIA: ESTE LIBRO TE HARÁ REPLANTEARTE LO LEJOS QUE PUEDE LLEGAR EL SER HUMANO.  PREPÁRATE PARA MIRAR DIRECTO AL ABISMO Y TEN CUIDADO DE QUE NO TE DEVUELVA LA MIRADA. En estas páginas nos embarcaremos en un viaje inquietante a través de ocho crímenes, cada cual más terrible, con los que os mostraré y reflexionaré sobre la maldad y cómo puede infiltrarse en los sitios menos esperados.Indagaré dentro de las mentes enfermas de asesinos, psicópatas, ególatras y monstruos, revelando, desde una perspectiva psicológica y científica, cuáles fueron sus motivaciones y más oscuros secretos que los llevaron a cometer estos crímenes imperdonables. Y nos haremos preguntas incómodas y no siempre fáciles de responder: ¿Cómo es posible que personas con vidas aparentemente normales puedan infligir tanto dolor, incluso a sus seres queridos?¿El mal existe realmente o es un intento de darle nombre a las sombras más oscuras de nuestras almas? ¿Podríamos llegar a cometer los actos más viles si nuestras vidas hubieran sido diferentes?  PREPÁRATE PARA MIRAR DIRECTO AL ABISMO. Y TEN CUIDADO DE QUE NO TE DEVUELVA LA MIRADA.

Ver más
Ver menos","19,85€","20,90€",296,2024,Español,Ediciones B,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwb4a20a0e/images/large/1476940.37.jpg?sw=740
1,BLACKWATER IV. La guerra,"McDowell, Michael","Descripción



Descubre el cuarto volumen de la saga Blackwater. Una saga matriarcal. Mujeres poderosas que luchan por el dominio durante generaciones. Una atmósfera única para una lectura adictiva. Un retrato realista con toques sobrenaturales. Escritura magistral y visual en un ambicioso proyecto entre el pulp y HBO.«Michael Mcdowell: mi amigo, mi maestro. Fascinante, aterrador, simplemente genial. El mejor de todos nosotros.» STEPHEN KING «Una sabia combinación entre Dumas y Lovecraft. Un cruce entre Stephen King y Gabriel García Márquez. Despiadadamente adictivo.» ROBERT SHAPLEN, THE NEW YORK TIMES Las gélidas y oscuras aguas del río Blackwater inundan Perdido, un pequeño pueblo al sur de Alabama. Allí, los Caskey, un gran clan de ricos terratenientes, intentan hacer frente a los daños causados por la riada. Liderados por Mary-Love, la incontestable matriarca, y Óscar, su obediente hijo, los Caskey trabajan por recomponerse y salvaguardar su fortuna. Pero no cuentan con la aparición de la misteriosa Elinor Dammert. Una joven hermosa pero parca en palabras con un único objetivo: acercarse a los Caskey cueste lo que cueste.

Ver más
Ver menos","9,40€","9,90€",272,2024,Español,Blackie Books,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw693805fe/images/large/1479809.83.jpg?sw=740
2,Olívia,The Tyets,"Descripción



La tradició d'anar a festivals sempre ha estat present, i aquesta vegada, més que mai. La família creix, i en el festival que tant els agrada, descobreixen l'arribada de l'Olívia. Ella marcarà una nova generació. Es convertirà en la primera neboda, neta, filla i en la gran d'aquesta nova família. Olívia és un conte basat en la cançó homónima de The Tyets que parla de noves etapes, com l'arribada d'una persona al a familia i el que aquesta aventura comporta.

Ver más
Ver menos","17,10€","18,00€",,2024,Catalán,Mediterrània,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dweb705bca/images/large/1487551.01.jpg?sw=740
3,100 motius per ser del Girona,"Solà Adroher, Eduard","Descripción



El Girona Club de Futbol està de moda, i no només perquè ha liderat la Lliga de la Primera Divisió la temporada 2023-24, sinó perquè els números l'han situat unes quantes vegades com un dels millors d'Europa. I això és molt gros. Tan gros que cada setmana deixa antiquat el que havia fet la setmana anterior. El creixement de l'equip ha estat tan espectacular que ha anat més de pressa que tots nosaltres. El 2021 vèiem partits de Segona Divisió, el 2022 vam celebrar l'ascens, el 2023 hem tastat el lideratge de Primera Divisió per primer cop a la història, el 2024, si no passa res greu, veurem partits de competició europea, i, el 2025, qui sap si algun títol. Ara m'he engrescat tant que em diran que hem de tocar de peus a terra. I ens ha anat molt bé el bon moment del Girona per poder escriure un llibre d'aquestes característiques, distès, sempre amb un to d'humor i sense que tot sigui tan transcendent. No sabem quan ni quants capítols del llibre quedaran caducats, però el que sí que és clar és que hem fet el llibre dels _100 motius per ser del Girona_ en el millor moment de la història del Girona.

Ver más
Ver menos","13,87€","14,60€",224,2024,Catalán,Cossetània,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwff5b7f93/images/large/1485671.80.jpg?sw=740
4,BLACKWATER I. La riuada,"McDowell, Michael","Descripción



Descobreix el primer volum de la saga Blackwater. Una saga matriarcal. Dones poderoses que lluiten pel poder durant generacions. Una atmosfera única per a una lectura addictiva. Un retrat realista amb tocs sobrenaturals. Escriptura magistral i visual en un ambiciós projecte entre el pulp i l'HBO.«Michael McDowell: el meu amic, el meu mestre. Fascinant, aterrador, simplement genial. El millor de tots nosaltres.» STEPHEN KING «Una sabia combinació entre Dumas i Lovecraft. Un creuament entre Stephen King i Gabriel García Márquez. Despiadadament addictiu.» ROBERT SHAPLEN, THE NEW YORK TIMES Les aigües fosques i glaçades del riu Blackwater inunden Perdido, un petit poble al sud d'Alabama. Allà, els Caskey, un clan de rics terratinents, intenten fer front als danys causats per la riuada. Liderats per la Mary-Love, l'omnipotent matriarca, i l'Òscar, el seu fill obedient, els Caskey treballen per refer-se i protegir la seva fortuna. Però no compten amb l'aparició de la misteriosa Elinor Dammert. Una jove bonica però molt parca en paraules que només sembla tenir un objectiu: apropar-se als Caskey costi el que costi.

Ver más
Ver menos","9,40€","9,90€",272,2024,Catalán,Blackie Books,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw98ad1182/images/large/1479810.59.jpg?sw=740
5,Cocina de 10 con Karlos Arguiñano,"Arguiñano, Karlos","Descripción



Vuelve Arguiñano, el gran clásico de la Navidad y top 1 en ventas. Un nuevo recetario, fácil y sabroso, para entregarse a los fogones y celebrar su décimo libro en Planeta Con más de un millón de ejemplares vendidos de todos sus libros, este año Karlos Arguiñano alcanza una cifra redonda: su título número 10 publicado en editorial Planeta. Y qué mejor para hacerlo que un nuevo recetario donde el truco, de nuevo, reside en la sencillez, en reivindicar la cocina casera, de mercado, sana y sin elaboraciones que nos compliquen la vida, pero con unos resultados que no bajan del 10. Ese es el principal reto que nuestro cocinero más querido se ha propuesto en Cocina de 10 con Karlos Arguiñano, un libro práctico con las recetas más exitosas del programa, entre las que destacan algunos platos con los que se te hará la boca agua: desde los cogollos de lechuga con salsa tártara a la suculenta tortilla de berenjena y chistorra o ese espagueti con morcilla y manzana para darse un homenaje. Sin olvidar, claro, los bollos de calabaza, el pan con espinacas, jamón y queso o el popular brioche de chocolate de Joseba Arguiñano -heredero del talento gastronómico de su padre- que alegran la mesa y el paladar.

Ver más
Ver menos","23,70€","24,95€",704,2023,Español,Planeta,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwa87743c9/images/large/1466796.88.jpg?sw=740
6,BLACKWATER IV. La guerra,"McDowell, Michael","Descripción



Descobreix el quart volum de la saga Blackwater. Una saga matriarcal. Dones poderoses que lluiten pel poder durant generacions. Una atmosfera única per a una lectura addictiva. Un retrat realista amb tocs sobrenaturals. Escriptura magistral i visual en un ambiciós projecte entre el pulp i l'HBO.«Michael McDowell: el meu amic, el meu mestre. Fascinant, aterrador, simplement genial. El millor de tots nosaltres.» STEPHEN KING «Una sabia combinació entre Dumas i Lovecraft. Un creuament entre Stephen King i Gabriel García Márquez. Despiadadament addictiu.» ROBERT SHAPLEN, THE NEW YORK TIMES Les aigües fosques i glaçades del riu Blackwater inunden Perdido, un petit poble al sud d'Alabama. Allà, els Caskey, un clan de rics terratinents, intenten fer front als danys causats per la riuada. Liderats per la Mary-Love, l'omnipotent matriarca, i l'Òscar, el seu fill obedient, els Caskey treballen per refer-se i protegir la seva fortuna. Però no compten amb l'aparició de la misteriosa Elinor Dammert. Una jove bonica però molt parca en paraules que només sembla tenir un objectiu: apropar-se als Caskey costi el que costi.

Ver más
Ver menos","9,40€","9,90€",272,2024,Catalán,Blackie Books,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw5276f575/images/large/1479808.07.jpg?sw=740
7,BLACKWATER I. La riada,"McDowell, Michael","Descripción



Descubre el primer volumen de la saga Blackwater. Una saga matriarcal. Mujeres poderosas que luchan por el dominio durante generaciones. Una atmósfera única para una lectura adictiva. Un retrato realista con toques sobrenaturales. Escritura magistral y visual en un ambicioso proyecto entre el pulp y HBO.«Michael Mcdowell: mi amigo, mi maestro. Fascinante, aterrador, simplemente genial. El mejor de todos nosotros.» STEPHEN KING «Una sabia combinación entre Dumas y Lovecraft. Un cruce entre Stephen King y Gabriel García Márquez. Despiadadamente adictivo.» ROBERT SHAPLEN, THE NEW YORK TIMES Las gélidas y oscuras aguas del río Blackwater inundan Perdido, un pequeño pueblo al sur de Alabama. Allí, los Caskey, un gran clan de ricos terratenientes, intentan hacer frente a los daños causados por la riada. Liderados por Mary-Love, la incontestable matriarca, y Óscar, su obediente hijo, los Caskey trabajan por recomponerse y salvaguardar su fortuna. Pero no cuentan con la aparición de la misteriosa Elinor Dammert. Una joven hermosa pero parca en palabras con un único objetivo: acercarse a los Caskey cueste lo que cueste.

Ver más
Ver menos","9,40€","9,90€",272,2024,Español,Blackie Books,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw1af1c322/images/large/1479807.31.jpg?sw=740
8,Dolços sanots,"Zurriaga Mitjans, Laura","Descripción



Descobreix la pastisseria fàcil i sense sucre amb la reina dels dolços: 80 receptes de postres boníssimes per al cos i per al cap.  És possible gaudir d'un postre deliciós i sense sucre? Amb quin ingredient puc substituir les farines refinades? Com puc evitar els pics de glucosa sense renunciar als dolços?Tot el que sempre has volgut saber i molt més sobre la pastisseria saludable ho trobaràs a Dolços sanots, el primer llibre de receptes de la Croqueta de Xocolata, la reina dels dolços. Pastissos, brioixeria, gelats, cremes untables... Descobreix 80 receptes fàcils, saludables, delicioses i sense sucre per preparar en un moment i amb ingredients a l'abast de la teva mà.

Ver más
Ver menos","20,85€","21,95€",208,2024,Catalán,Montena,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwc908aa9c/images/large/1476836.19.jpg?sw=740
9,Todos los lugares que mantuvimos en secreto,"Rubiales, Inma","Descripción



Nunca pospongas las cosas importantes de la vida«Me aprendí el nombre completo de Maeve, su canción favorita y todas las cosas que la hacían reír mucho antes de aprender a contar hasta diez.» Maeve no sabe mucho sobre sí misma. Solo que no deja de pensar en si su madre cumplió todos sus sueños antes de morir, que la relación con su novio va cada vez peor y que está cansada de que todos sus días sean iguales.Cuando, por un impulso, acaba comprando un billete solo de ida a la otra parte del mundo para volver al pueblo en el que vivió cuando era niña, lo que menos esperaba era reencontrarse allí con el que fue su mejor amigo de la infancia.Connor siempre supo que tarde o temprano Maeve regresaría. Lo que nunca pensó es que fuera a ser así.Tan caótica. Tan perdida. Como si aún estuviera por definir.Si el miedo de ambos es desperdiciar sus vidas sin haber hecho nada que merezca la pena, ¿qué mejor que escribir una lista con todo lo que quieren hacer antes de morir y cumplirla juntos?

Ver más
Ver menos","17,95€","18,90€",680,2024,Español,Planeta,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwc55a5b1a/images/large/1475984.43.jpg?sw=740
